Age,Gender,Social Class,Job,Color,Font,Position
seniors,male,c,mechanic,white,simple,right
adults,female,b,cinema,green,simple,left
adults,male,c,enviroment,red,elegant,up
adults,female,a,mass communication,brown,elegant,down
seniors,female,b,sales,red,elegant,left
adults,male,a,medical,white,elegant,up
children,female,c,mass communication,pink,simple,down
adults,male,b,weather,pink,complex,up
youth,female,c,cinema,green,cartoonish,up
youth,female,a,enviroment,white,complex,up
seniors,male,c,enviroment,black,cartoonish,left
youth,female,c,computer science,red,cartoonish,right
youth,male,c,mass communication,purple,elegant,right
adults,female,a,computer science,black,elegant,left
youth,female,b,sales,green,complex,down
children,female,c,cinema,red,cartoonish,left
children,male,c,computer science,blue,elegant,up
adults,male,c,police,red,elegant,down
children,female,b,mass communication,purple,elegant,down
seniors,female,c,enviroment,white,complex,up
children,female,a,sales,green,elegant,left
youth,female,c,computer science,brown,simple,left
youth,female,b,weather,blue,cartoonish,up
adults,male,b,computer science,orange,complex,down
children,male,a,cinema,green,cartoonish,left
children,male,c,police,blue,simple,right
youth,female,b,enviroment,brown,elegant,down
youth,female,a,mass communication,black,elegant,right
youth,female,b,restaurants,yellow,complex,up
youth,male,c,mass communication,green,complex,down
youth,female,b,mass communication,white,simple,right
youth,male,a,weather,white,cartoonish,down
adults,male,b,engineer,brown,elegant,up
seniors,female,a,education,white,cartoonish,left
youth,male,c,mass communication,yellow,complex,up
youth,male,a,cinema,pink,cartoonish,up
adults,female,b,computer science,white,complex,up
seniors,male,b,police,yellow,cartoonish,down
seniors,female,c,engineer,green,complex,right
youth,male,a,police,red,complex,right
seniors,female,c,mechanic,pink,complex,up
youth,male,c,computer science,brown,elegant,down
seniors,female,c,enviroment,green,elegant,up
adults,female,c,education,orange,cartoonish,right
youth,male,a,medical,green,complex,right
youth,male,a,enviroment,yellow,elegant,left
adults,male,c,sales,red,elegant,left
youth,male,c,engineer,black,complex,down
youth,male,b,weather,black,complex,right
seniors,female,b,education,blue,cartoonish,down
children,female,b,computer science,pink,simple,right
youth,male,c,mechanic,black,complex,right
children,female,a,mass communication,green,simple,up
adults,female,b,cinema,brown,simple,up
children,female,a,mass communication,black,complex,down
seniors,male,b,mechanic,white,simple,down
adults,male,c,sales,white,complex,down
youth,female,c,cinema,yellow,complex,down
adults,female,c,mass communication,brown,elegant,down
adults,female,c,medical,red,cartoonish,up
youth,male,b,computer science,white,simple,left
seniors,female,a,weather,white,cartoonish,left
adults,female,b,cinema,green,complex,down
seniors,female,c,enviroment,purple,cartoonish,right
children,male,a,enviroment,brown,simple,right
youth,female,b,enviroment,red,simple,down
children,male,a,enviroment,red,elegant,up
seniors,male,a,engineer,orange,complex,left
adults,female,a,weather,red,cartoonish,left
seniors,female,c,restaurants,black,elegant,right
youth,male,b,enviroment,white,simple,left
youth,male,c,medical,red,cartoonish,down
adults,male,c,mass communication,orange,simple,down
adults,female,a,medical,yellow,complex,up
youth,male,c,medical,black,elegant,down
children,male,a,weather,yellow,simple,up
adults,female,b,police,red,elegant,right
children,male,b,computer science,purple,elegant,down
adults,male,b,education,orange,cartoonish,down
youth,male,b,engineer,yellow,cartoonish,down
children,male,b,computer science,blue,elegant,up
youth,male,c,enviroment,black,elegant,up
youth,female,a,enviroment,blue,elegant,left
adults,male,a,cinema,orange,elegant,left
seniors,male,b,police,white,cartoonish,right
children,female,c,weather,blue,simple,up
seniors,female,c,restaurants,white,simple,down
seniors,male,a,weather,blue,cartoonish,left
seniors,female,a,mass communication,pink,complex,right
youth,female,b,enviroment,yellow,cartoonish,up
seniors,female,a,mass communication,brown,elegant,right
seniors,male,c,restaurants,blue,simple,up
adults,male,c,restaurants,purple,elegant,left
children,male,c,police,purple,complex,right
children,female,c,police,red,cartoonish,down
children,male,a,medical,yellow,cartoonish,up
children,male,c,cinema,orange,simple,right
seniors,male,c,weather,white,complex,left
children,male,a,restaurants,brown,complex,up
adults,female,b,computer science,white,simple,right
youth,male,c,cinema,black,elegant,left
youth,female,b,weather,red,complex,left
youth,female,c,mechanic,orange,simple,left
youth,male,c,enviroment,yellow,simple,right
seniors,male,c,engineer,brown,complex,left
adults,male,a,weather,black,complex,right
adults,male,b,weather,brown,elegant,up
adults,female,c,enviroment,white,elegant,up
youth,male,a,sales,purple,elegant,up
seniors,female,a,cinema,blue,elegant,right
seniors,female,a,cinema,red,complex,down
children,male,c,enviroment,purple,simple,up
adults,male,b,education,white,cartoonish,down
adults,male,b,computer science,pink,simple,up
youth,female,a,enviroment,brown,simple,left
youth,female,b,weather,purple,complex,down
youth,female,a,mechanic,black,cartoonish,up
children,female,b,engineer,brown,cartoonish,down
children,male,a,enviroment,pink,simple,up
seniors,male,a,enviroment,pink,elegant,left
children,male,c,police,white,complex,down
adults,female,a,restaurants,white,elegant,down
youth,male,b,education,orange,elegant,up
adults,male,c,medical,pink,elegant,down
adults,male,c,sales,green,cartoonish,right
children,female,b,mass communication,green,elegant,down
adults,male,b,enviroment,yellow,elegant,down
seniors,female,c,computer science,black,elegant,left
children,male,b,cinema,black,cartoonish,right
children,male,c,enviroment,blue,elegant,up
youth,female,a,cinema,blue,elegant,up
adults,female,c,sales,brown,simple,right
children,male,c,medical,purple,cartoonish,right
adults,female,c,mass communication,black,cartoonish,up
seniors,female,b,cinema,blue,simple,left
children,female,a,education,orange,elegant,right
seniors,female,b,engineer,red,simple,up
adults,female,b,computer science,pink,elegant,left
seniors,male,b,education,brown,simple,up
youth,female,a,engineer,orange,complex,up
adults,female,c,mechanic,green,cartoonish,right
children,female,c,weather,brown,elegant,up
children,female,a,cinema,yellow,simple,up
adults,female,c,cinema,green,complex,right
adults,male,c,engineer,blue,elegant,down
seniors,female,a,computer science,blue,cartoonish,up
adults,male,c,medical,brown,simple,right
adults,male,c,police,pink,cartoonish,left
adults,male,a,police,red,cartoonish,left
youth,female,a,enviroment,brown,simple,down
seniors,female,c,education,green,cartoonish,left
children,female,c,education,pink,elegant,up
adults,female,c,medical,yellow,simple,right
youth,male,b,sales,pink,cartoonish,right
adults,male,a,computer science,purple,complex,right
adults,female,a,medical,white,elegant,up
children,male,a,mass communication,orange,complex,right
seniors,female,c,cinema,green,cartoonish,right
seniors,male,c,computer science,orange,elegant,right
seniors,male,a,enviroment,yellow,complex,right
children,male,b,weather,red,simple,up
children,male,b,weather,black,complex,down
seniors,male,c,sales,blue,cartoonish,left
seniors,female,c,restaurants,pink,cartoonish,up
children,female,c,engineer,pink,elegant,up
seniors,female,a,sales,brown,simple,right
adults,female,b,enviroment,yellow,simple,up
youth,female,b,mass communication,green,cartoonish,left
youth,female,a,restaurants,red,simple,up
youth,male,c,restaurants,red,elegant,up
seniors,female,c,mass communication,yellow,elegant,up
seniors,male,b,computer science,red,elegant,up
youth,male,b,sales,green,complex,right
youth,male,b,mechanic,brown,cartoonish,left
youth,male,c,mechanic,purple,elegant,down
adults,male,a,computer science,brown,cartoonish,left
youth,male,b,education,red,simple,down
youth,female,b,cinema,pink,elegant,left
seniors,male,a,mechanic,white,complex,left
adults,male,a,restaurants,pink,cartoonish,down
youth,male,c,police,orange,cartoonish,down
seniors,female,a,weather,orange,complex,left
seniors,female,a,mass communication,orange,elegant,down
children,female,c,enviroment,yellow,cartoonish,left
seniors,female,c,enviroment,black,simple,up
seniors,male,b,police,pink,cartoonish,up
youth,female,b,mechanic,purple,cartoonish,up
adults,female,b,computer science,black,elegant,right
adults,male,a,restaurants,purple,cartoonish,left
children,female,c,cinema,black,simple,up
youth,male,c,sales,black,elegant,up
youth,female,b,medical,white,elegant,right
adults,male,a,cinema,black,elegant,right
youth,male,b,cinema,pink,simple,down
seniors,male,b,engineer,blue,elegant,left
youth,female,a,education,yellow,cartoonish,down
seniors,female,b,police,white,simple,up
seniors,male,a,cinema,yellow,cartoonish,down
adults,female,c,restaurants,purple,elegant,down
seniors,female,b,engineer,white,elegant,down
youth,female,c,police,red,cartoonish,right
youth,male,a,medical,black,complex,up
seniors,male,b,mechanic,blue,complex,up
seniors,male,b,sales,red,complex,up
seniors,female,a,medical,red,simple,up
seniors,female,a,medical,pink,simple,right
youth,female,b,education,red,simple,down
youth,female,a,police,yellow,complex,up
seniors,female,c,medical,brown,simple,up
seniors,female,a,sales,black,elegant,down
seniors,female,c,mass communication,black,cartoonish,up
children,male,b,enviroment,yellow,elegant,right
youth,female,a,police,pink,elegant,left
children,male,a,education,blue,cartoonish,down
youth,female,c,sales,brown,cartoonish,right
adults,male,b,mass communication,white,elegant,up
youth,female,b,engineer,black,simple,right
seniors,female,b,medical,black,elegant,down
seniors,female,b,computer science,purple,elegant,left
seniors,female,b,mechanic,white,complex,left
adults,male,a,engineer,black,complex,down
youth,female,a,mechanic,green,simple,up
children,female,b,computer science,orange,complex,down
seniors,male,c,restaurants,red,complex,down
youth,male,b,education,purple,complex,down
youth,female,b,restaurants,orange,elegant,up
youth,male,a,weather,orange,simple,left
seniors,male,a,sales,white,simple,right
children,male,a,cinema,black,elegant,left
youth,male,b,medical,orange,simple,down
children,male,a,education,green,elegant,right
seniors,male,c,medical,brown,simple,up
children,female,c,medical,blue,complex,left
adults,male,c,education,red,cartoonish,right
seniors,female,a,restaurants,purple,complex,up
adults,female,b,computer science,green,complex,down
adults,female,a,mass communication,pink,complex,right
adults,female,a,engineer,pink,elegant,up
youth,female,c,restaurants,blue,cartoonish,up
seniors,male,c,mechanic,yellow,cartoonish,up
seniors,female,b,engineer,white,elegant,up
adults,male,b,medical,green,elegant,down
youth,male,c,computer science,yellow,elegant,right
seniors,male,a,restaurants,green,elegant,right
seniors,female,b,restaurants,white,elegant,left
