Age,Gender,Social Class,Job,Color,Font,Position
adult,male,lower,software engineering,pink,thin,up
young adult,both,lower,engineering and math,grey,thin,right
child,both,middle,transportation,pink,thin,right
all,male,lower,engineering and math,blue,bubbly,up
young adult,female,lower,agriculture,purple,elegant,left
young adult,female,all,accessories and fashion,yellow,bubbly,up
child,both,upper,transportation,pink,elegant,left
young adult,male,lower,government and public administration,brown,classy,down
teen,male,middle,communication,grey,thin,down
all,female,upper,animals,black,elegant,down
child,female,lower,public safety and security,green,classy,up
child,female,all,food and natural resources,brown,elegant,up
child,male,middle,animals,black,bubbly,left
young adult,both,all,marketing,grey,bubbly,down
adult,male,upper,business and finance,orange,bold,left
elder,male,all,medicine,brown,bold,up
teen,both,lower,arts,brown,thin,down
young adult,both,middle,government and public administration,grey,classy,up
child,both,upper,software engineering,grey,elegant,down
adult,both,all,transportation,pink,bubbly,down
adult,female,lower,communication,yellow,modern,right
teen,female,all,software engineering,blue,bold,left
all,male,upper,engineering and math,grey,bubbly,down
young adult,both,lower,software engineering,pink,classy,down
adult,both,lower,transportation,purple,bold,left
child,female,upper,technology,orange,bold,left
adult,female,upper,animals,orange,classy,left
teen,both,all,public safety and security,pink,modern,left
all,female,middle,engineering and math,purple,modern,up
young adult,both,upper,food and natural resources,green,thin,left
adult,both,lower,engineering and math,brown,elegant,left
adult,male,all,medicine,red,thin,right
adult,female,upper,business and finance,pink,thin,right
child,male,upper,education and training,green,bubbly,up
teen,female,upper,arts,black,bubbly,left
adult,male,middle,food and natural resources,yellow,modern,down
child,male,lower,games and entertainment,pink,modern,up
teen,male,middle,marketing,purple,thin,up
all,female,upper,agriculture,pink,elegant,right
young adult,female,upper,communication,brown,modern,up
all,female,middle,science,purple,bubbly,down
young adult,both,upper,accessories and fashion,yellow,classy,left
elder,both,upper,education and training,grey,bubbly,down
all,female,all,medicine,blue,bold,right
child,female,all,animals,yellow,bubbly,down
elder,male,upper,games and entertainment,pink,thin,right
child,male,lower,government and public administration,pink,bubbly,left
teen,female,lower,games and entertainment,purple,bold,right
elder,both,all,audio and video technology,pink,modern,left
all,both,upper,medicine,purple,thin,left
teen,female,upper,agriculture,black,classy,left
elder,both,middle,communication,black,modern,left
child,both,upper,engineering and math,green,classy,down
adult,female,middle,medicine,orange,bold,up
all,both,all,audio and video technology,black,bold,right
elder,female,all,law,black,bold,up
elder,male,middle,engineering and math,pink,bold,left
adult,male,upper,public safety and security,brown,bubbly,down
elder,male,all,law,red,elegant,right
elder,male,lower,accessories and fashion,grey,thin,down
elder,female,middle,medicine,blue,bubbly,right
adult,male,middle,agriculture,yellow,elegant,up
teen,male,upper,education and training,green,elegant,left
child,both,upper,public safety and security,red,elegant,up
child,male,upper,architecture and construction,blue,thin,up
elder,both,all,animals,grey,bubbly,up
elder,female,all,games and entertainment,pink,bold,right
adult,female,lower,business and finance,green,elegant,right
child,female,lower,science,black,bubbly,down
young adult,female,all,transportation,green,modern,up
teen,male,upper,communication,brown,bold,up
teen,both,lower,software engineering,purple,modern,up
young adult,male,all,architecture and construction,pink,bold,left
all,female,middle,architecture and construction,pink,thin,right
child,both,lower,medicine,brown,modern,down
young adult,female,upper,arts,black,bold,right
elder,male,upper,games and entertainment,grey,bold,left
young adult,both,all,science,red,thin,down
adult,male,middle,government and public administration,pink,bubbly,up
adult,female,middle,public safety and security,black,modern,left
elder,female,all,agriculture,red,bold,up
child,female,middle,software engineering,brown,modern,left
all,male,middle,business and finance,black,bold,down
child,male,upper,transportation,grey,bubbly,down
child,both,all,food and natural resources,grey,classy,down
all,both,middle,software engineering,black,bold,left
adult,both,middle,food and natural resources,purple,thin,right
young adult,female,lower,science,black,thin,up
child,female,upper,games and entertainment,purple,classy,up
adult,male,middle,science,blue,classy,left
teen,both,middle,public safety and security,orange,classy,right
all,both,upper,food and natural resources,grey,bubbly,right
teen,male,lower,arts,grey,classy,down
teen,female,all,science,yellow,bubbly,left
adult,male,lower,medicine,red,classy,left
adult,male,middle,accessories and fashion,green,bold,down
teen,male,middle,accessories and fashion,green,classy,right
child,both,upper,technology,yellow,bold,right
child,both,middle,business and finance,green,elegant,up
young adult,both,upper,accessories and fashion,purple,bold,up
teen,male,lower,business and finance,blue,elegant,down
child,female,all,government and public administration,black,thin,right
teen,both,all,business and finance,red,classy,down
child,female,lower,technology,brown,bubbly,up
adult,male,all,public safety and security,pink,classy,right
child,male,upper,law,purple,bold,up
young adult,female,upper,technology,red,bold,down
adult,male,lower,technology,red,bold,up
child,female,middle,communication,green,thin,left
all,female,upper,government and public administration,blue,elegant,right
teen,male,upper,communication,grey,thin,up
teen,female,upper,accessories and fashion,yellow,bold,up
child,female,lower,education and training,black,thin,left
young adult,female,middle,software engineering,orange,thin,left
teen,female,middle,architecture and construction,blue,elegant,left
child,both,upper,accessories and fashion,purple,classy,down
elder,both,middle,communication,grey,elegant,down
elder,both,middle,science,pink,bold,up
young adult,male,lower,marketing,pink,bold,left
teen,female,upper,education and training,black,bold,right
young adult,male,middle,games and entertainment,red,elegant,right
all,both,middle,medicine,purple,bold,down
teen,both,upper,education and training,pink,bold,down
elder,both,middle,medicine,grey,modern,down
all,both,middle,communication,orange,bold,down
all,male,lower,arts,pink,elegant,up
all,female,lower,architecture and construction,blue,classy,down
teen,male,all,transportation,yellow,thin,down
adult,male,upper,architecture and construction,yellow,modern,up
adult,both,middle,communication,orange,classy,down
elder,female,middle,law,blue,elegant,up
young adult,male,all,animals,purple,modern,right
young adult,male,middle,arts,yellow,elegant,left
child,female,upper,food and natural resources,pink,bold,left
teen,both,upper,food and natural resources,green,elegant,down
adult,both,all,architecture and construction,yellow,elegant,up
teen,male,all,accessories and fashion,purple,elegant,left
young adult,female,all,accessories and fashion,purple,modern,left
elder,both,lower,engineering and math,orange,bubbly,right
child,both,all,business and finance,yellow,bold,up
all,both,upper,science,green,classy,left
child,male,upper,technology,green,bubbly,up
teen,both,all,accessories and fashion,orange,bold,down
child,female,upper,engineering and math,brown,elegant,up
elder,both,middle,engineering and math,red,classy,right
teen,male,all,government and public administration,orange,thin,up
elder,female,lower,accessories and fashion,red,thin,down
young adult,female,lower,business and finance,green,elegant,down
elder,male,middle,marketing,orange,bold,right
child,male,middle,public safety and security,orange,elegant,right
all,female,middle,communication,orange,elegant,up
all,female,lower,business and finance,red,elegant,right
all,male,middle,public safety and security,brown,classy,up
teen,both,lower,accessories and fashion,orange,modern,up
elder,female,lower,games and entertainment,yellow,classy,down
teen,both,middle,food and natural resources,grey,bold,left
adult,female,all,law,blue,thin,right
adult,both,middle,marketing,red,elegant,up
young adult,both,all,architecture and construction,purple,elegant,up
teen,male,lower,public safety and security,blue,modern,down
young adult,male,all,software engineering,blue,elegant,up
child,female,lower,marketing,red,thin,down
adult,female,upper,public safety and security,black,bubbly,down
child,both,all,games and entertainment,pink,elegant,down
all,both,middle,medicine,pink,elegant,right
child,male,lower,architecture and construction,purple,bold,up
child,both,upper,communication,pink,bold,left
elder,male,all,food and natural resources,grey,bold,right
all,female,middle,public safety and security,brown,bubbly,up
teen,male,all,accessories and fashion,red,bubbly,down
elder,female,lower,engineering and math,blue,bubbly,down
all,male,lower,business and finance,green,classy,up
child,female,all,accessories and fashion,blue,bold,down
adult,male,upper,audio and video technology,pink,classy,left
all,both,all,business and finance,black,elegant,down
elder,female,all,medicine,brown,classy,down
all,both,upper,education and training,black,classy,up
elder,both,all,animals,purple,elegant,down
teen,both,all,agriculture,red,classy,right
child,both,lower,animals,purple,elegant,left
adult,both,lower,arts,pink,bubbly,up
child,male,middle,communication,red,thin,up
child,both,middle,agriculture,blue,elegant,up
young adult,both,middle,arts,red,elegant,left
elder,male,upper,agriculture,grey,elegant,right
young adult,female,lower,public safety and security,yellow,thin,down
all,both,all,public safety and security,orange,thin,left
teen,both,lower,technology,yellow,bubbly,right
teen,male,middle,food and natural resources,brown,modern,right
child,female,middle,communication,brown,bubbly,left
young adult,male,upper,software engineering,black,thin,down
child,female,middle,education and training,yellow,bubbly,right
teen,male,middle,arts,blue,classy,down
teen,female,middle,transportation,blue,thin,right
elder,female,upper,education and training,red,classy,up
elder,male,all,accessories and fashion,orange,elegant,left
teen,female,all,public safety and security,grey,modern,left
all,male,all,software engineering,yellow,thin,up
teen,female,lower,animals,yellow,bold,left
all,male,upper,agriculture,grey,thin,left
teen,male,middle,animals,yellow,bold,left
elder,both,lower,transportation,brown,bold,left
child,female,middle,arts,blue,thin,up
all,female,all,transportation,brown,elegant,up
teen,female,lower,arts,blue,bold,left
elder,female,upper,games and entertainment,yellow,elegant,up
young adult,both,lower,technology,orange,thin,right
young adult,both,lower,government and public administration,blue,elegant,left
teen,both,all,software engineering,black,modern,up
adult,both,middle,animals,black,elegant,right
all,female,upper,public safety and security,red,thin,left
young adult,both,lower,accessories and fashion,black,bold,down
teen,female,middle,government and public administration,pink,bubbly,right
elder,both,lower,business and finance,brown,thin,left
adult,female,upper,marketing,yellow,elegant,right
child,both,lower,agriculture,red,elegant,up
young adult,female,lower,games and entertainment,purple,modern,right
young adult,male,lower,technology,green,bold,down
child,male,lower,communication,red,classy,down
adult,both,upper,engineering and math,purple,classy,left
teen,both,middle,business and finance,purple,elegant,down
young adult,both,lower,communication,green,classy,down
elder,both,all,software engineering,purple,classy,down
young adult,both,lower,animals,pink,elegant,up
child,male,lower,transportation,orange,classy,right
adult,female,lower,science,green,thin,down
all,both,middle,public safety and security,green,bold,right
young adult,female,middle,government and public administration,black,bubbly,down
young adult,female,middle,education and training,pink,bold,down
child,male,middle,animals,black,bubbly,right
young adult,female,all,agriculture,blue,classy,up
teen,both,middle,transportation,black,modern,down
elder,both,middle,food and natural resources,black,bold,up
all,male,lower,transportation,blue,modern,right
adult,both,all,agriculture,brown,elegant,down
teen,female,middle,technology,black,bubbly,left
child,male,upper,marketing,orange,bold,up
young adult,female,lower,law,green,modern,down
elder,male,upper,agriculture,brown,bold,right
all,both,upper,marketing,black,bold,down
child,both,lower,audio and video technology,pink,thin,right
all,both,all,software engineering,pink,modern,down
elder,both,all,animals,orange,bold,down
all,female,middle,architecture and construction,blue,bubbly,up
young adult,female,all,business and finance,brown,classy,up
all,male,lower,engineering and math,black,elegant,up
child,female,upper,games and entertainment,yellow,modern,up
teen,male,upper,agriculture,pink,bubbly,down
young adult,male,lower,food and natural resources,pink,elegant,up
all,male,middle,public safety and security,blue,elegant,down
young adult,both,upper,public safety and security,orange,bubbly,right
young adult,both,upper,arts,green,thin,right
all,female,upper,agriculture,red,bubbly,up
child,female,middle,animals,yellow,classy,left
all,female,upper,law,green,bubbly,down
adult,both,lower,marketing,green,bubbly,left
adult,male,middle,games and entertainment,blue,thin,left
adult,female,lower,games and entertainment,black,classy,left
adult,male,upper,accessories and fashion,yellow,elegant,right
elder,both,middle,engineering and math,blue,thin,up
young adult,female,upper,law,pink,elegant,left
young adult,female,all,architecture and construction,blue,elegant,up
elder,male,all,technology,purple,classy,down
all,female,middle,public safety and security,brown,modern,up
all,male,upper,law,red,bold,up
child,both,lower,science,green,elegant,left
teen,both,all,animals,blue,classy,right
young adult,female,middle,accessories and fashion,black,classy,right
all,female,lower,engineering and math,pink,bold,right
young adult,female,all,engineering and math,green,classy,up
young adult,male,upper,architecture and construction,pink,elegant,down
elder,both,all,food and natural resources,orange,thin,down
young adult,male,middle,arts,brown,thin,up
child,male,upper,animals,black,bubbly,up
teen,both,upper,public safety and security,purple,modern,left
young adult,female,lower,science,green,classy,left
elder,male,all,medicine,purple,modern,down
adult,female,all,audio and video technology,brown,bold,left
teen,male,lower,arts,grey,bold,down
adult,male,all,education and training,red,modern,right
child,male,all,arts,pink,classy,down
young adult,male,lower,software engineering,red,bold,right
young adult,male,middle,education and training,grey,modern,down
adult,both,lower,public safety and security,yellow,modern,right
all,male,upper,communication,orange,elegant,left
teen,male,upper,games and entertainment,purple,thin,left
adult,female,upper,public safety and security,brown,classy,up
child,male,middle,government and public administration,yellow,classy,right
child,male,all,games and entertainment,purple,elegant,right
adult,both,upper,public safety and security,blue,bubbly,up
elder,female,lower,engineering and math,yellow,elegant,right
adult,female,lower,transportation,orange,bubbly,up
all,both,middle,architecture and construction,brown,elegant,up
all,both,middle,engineering and math,blue,classy,up
child,male,lower,transportation,green,modern,down
young adult,male,upper,education and training,yellow,elegant,up
all,male,middle,education and training,orange,classy,right
child,male,all,government and public administration,pink,bold,right
young adult,both,lower,communication,red,bubbly,up
elder,female,lower,medicine,pink,classy,down
all,both,all,technology,yellow,bold,up
child,female,lower,architecture and construction,purple,thin,right
all,both,upper,science,orange,bubbly,left
adult,female,lower,food and natural resources,brown,modern,up
teen,female,lower,games and entertainment,pink,bold,down
child,male,lower,education and training,green,classy,up
adult,both,all,engineering and math,grey,bold,left
elder,female,middle,software engineering,green,elegant,down
young adult,male,lower,medicine,orange,thin,left
all,both,upper,accessories and fashion,black,bold,right
all,female,all,law,purple,elegant,right
all,both,lower,marketing,black,thin,left
all,female,lower,animals,orange,classy,down
young adult,female,all,animals,orange,bold,right
child,both,middle,technology,brown,bold,left
elder,both,lower,marketing,purple,elegant,up
elder,male,lower,technology,red,modern,down
elder,female,upper,public safety and security,pink,thin,down
elder,both,middle,medicine,purple,elegant,left
elder,male,middle,software engineering,green,bubbly,down
adult,both,upper,law,purple,elegant,left
young adult,female,upper,government and public administration,red,bold,up
child,both,all,business and finance,orange,bubbly,left
young adult,male,all,science,black,elegant,right
teen,both,upper,software engineering,grey,bubbly,left
young adult,female,lower,software engineering,brown,bold,down
elder,female,all,audio and video technology,pink,bold,left
child,female,lower,engineering and math,grey,classy,left
young adult,both,middle,business and finance,brown,bold,left
elder,female,all,audio and video technology,blue,bold,down
young adult,female,upper,architecture and construction,purple,thin,right
all,female,middle,software engineering,blue,thin,down
teen,male,middle,architecture and construction,blue,bubbly,down
elder,male,upper,marketing,pink,elegant,left
child,both,lower,technology,pink,modern,up
child,female,all,public safety and security,brown,thin,up
adult,both,middle,architecture and construction,green,classy,up
teen,both,lower,education and training,brown,bubbly,up
elder,female,middle,accessories and fashion,orange,modern,right
adult,female,middle,games and entertainment,black,modern,right
all,female,upper,science,yellow,classy,right
all,male,middle,arts,blue,modern,left
teen,both,upper,games and entertainment,green,bold,down
adult,both,upper,audio and video technology,orange,thin,down
child,male,all,medicine,red,thin,left
teen,female,all,food and natural resources,brown,modern,left
adult,male,upper,animals,brown,bold,down
child,male,lower,medicine,blue,classy,down
young adult,both,all,engineering and math,purple,thin,down
child,male,middle,law,black,classy,right
child,female,middle,audio and video technology,pink,bold,up
teen,both,middle,public safety and security,blue,elegant,right
all,both,middle,education and training,brown,classy,down
young adult,female,all,arts,black,elegant,right
child,both,upper,government and public administration,black,bold,up
young adult,female,all,government and public administration,orange,modern,up
adult,male,lower,law,pink,bubbly,left
elder,female,lower,arts,red,bubbly,left
young adult,both,middle,engineering and math,black,bold,right
elder,female,all,technology,black,classy,left
adult,male,upper,software engineering,grey,bubbly,up
young adult,male,lower,games and entertainment,grey,bold,up
child,both,all,government and public administration,blue,modern,down
teen,male,middle,animals,brown,elegant,up
elder,female,upper,communication,purple,bold,down
all,male,all,technology,grey,thin,left
elder,female,lower,business and finance,pink,thin,up
all,male,all,software engineering,yellow,modern,down
child,male,middle,food and natural resources,black,elegant,right
teen,male,middle,agriculture,yellow,bubbly,right
young adult,male,upper,science,orange,thin,up
child,male,middle,government and public administration,black,thin,left
elder,male,lower,software engineering,red,thin,left
adult,female,lower,software engineering,yellow,bubbly,down
young adult,female,all,science,yellow,bubbly,right
child,male,all,science,red,modern,down
young adult,both,middle,law,orange,elegant,down
all,both,all,agriculture,green,modern,down
teen,male,all,software engineering,blue,bubbly,right
all,both,middle,communication,brown,modern,down
child,both,all,science,pink,bubbly,right
young adult,male,upper,food and natural resources,purple,modern,up
elder,both,middle,software engineering,black,classy,up
elder,both,upper,architecture and construction,green,thin,up
all,female,upper,arts,pink,classy,right
teen,male,upper,audio and video technology,red,classy,left
elder,male,lower,arts,green,elegant,up
elder,male,middle,software engineering,grey,modern,right
elder,male,lower,business and finance,green,elegant,up
teen,female,middle,agriculture,grey,classy,right
young adult,male,lower,communication,green,bold,left
elder,male,all,marketing,purple,modern,down
elder,female,all,communication,black,bold,left
all,male,middle,government and public administration,red,thin,down
adult,male,lower,accessories and fashion,black,modern,right
young adult,female,all,software engineering,blue,bubbly,right
elder,female,middle,food and natural resources,orange,bold,up
elder,both,lower,engineering and math,blue,thin,up
teen,female,middle,architecture and construction,blue,modern,down
young adult,male,all,law,yellow,bubbly,right
elder,male,lower,public safety and security,pink,thin,down
adult,female,all,business and finance,brown,bubbly,left
child,both,all,public safety and security,yellow,elegant,down
all,male,middle,medicine,grey,elegant,up
young adult,male,lower,food and natural resources,black,classy,right
teen,both,all,engineering and math,pink,elegant,right
adult,male,all,technology,green,modern,up
adult,female,middle,technology,pink,elegant,up
all,both,middle,games and entertainment,green,classy,up
young adult,male,upper,science,black,thin,down
teen,male,middle,food and natural resources,orange,classy,down
elder,both,lower,animals,orange,classy,right
teen,both,upper,education and training,brown,elegant,up
child,female,all,games and entertainment,purple,bold,down
adult,both,all,accessories and fashion,yellow,bubbly,right
elder,both,middle,education and training,black,modern,up
child,both,lower,science,blue,modern,right
all,both,upper,communication,blue,elegant,right
teen,both,upper,business and finance,green,bold,right
teen,male,middle,public safety and security,red,classy,down
child,both,lower,transportation,orange,elegant,right
teen,female,middle,government and public administration,pink,elegant,down
teen,female,lower,architecture and construction,grey,bold,up
elder,male,all,law,yellow,bubbly,down
adult,both,upper,games and entertainment,red,modern,right
all,female,middle,government and public administration,brown,classy,left
all,female,middle,communication,green,classy,left
young adult,female,all,agriculture,yellow,bubbly,up
young adult,female,lower,law,black,bubbly,up
teen,both,upper,games and entertainment,brown,thin,down
all,male,lower,software engineering,pink,modern,left
all,female,lower,public safety and security,blue,bold,up
teen,male,lower,animals,green,modern,down
adult,both,lower,architecture and construction,red,bold,left
young adult,both,upper,arts,orange,thin,right
adult,female,upper,audio and video technology,red,bubbly,left
teen,female,lower,architecture and construction,purple,bold,down
all,both,all,marketing,pink,elegant,up
elder,male,all,architecture and construction,yellow,bubbly,up
adult,female,all,transportation,black,thin,right
teen,male,lower,science,grey,bold,left
all,both,lower,software engineering,orange,elegant,left
adult,both,all,transportation,red,thin,right
child,male,all,public safety and security,blue,classy,right
child,female,lower,business and finance,pink,bubbly,left
child,female,upper,animals,purple,modern,down
all,both,lower,architecture and construction,brown,classy,up
teen,female,upper,government and public administration,red,thin,down
elder,both,lower,animals,yellow,modern,left
child,both,lower,games and entertainment,grey,thin,left
teen,male,all,games and entertainment,red,modern,left
child,both,all,public safety and security,yellow,thin,down
teen,both,middle,audio and video technology,brown,thin,left
all,male,lower,business and finance,orange,bold,up
child,male,middle,accessories and fashion,pink,classy,left
elder,female,all,agriculture,brown,elegant,right
adult,female,upper,transportation,purple,elegant,left
teen,male,lower,communication,brown,bold,up
all,male,middle,software engineering,brown,thin,up
teen,male,lower,accessories and fashion,yellow,classy,up
adult,female,upper,audio and video technology,blue,bubbly,up
all,female,all,games and entertainment,purple,thin,down
child,female,lower,public safety and security,pink,classy,up
young adult,male,all,audio and video technology,pink,classy,down
adult,male,all,education and training,blue,thin,left
elder,both,lower,technology,orange,thin,down
all,both,upper,medicine,yellow,classy,left
all,female,all,engineering and math,green,thin,left
young adult,both,lower,animals,yellow,bubbly,right
elder,both,lower,government and public administration,grey,bold,right
child,female,upper,medicine,blue,bubbly,right
adult,female,middle,food and natural resources,green,bubbly,down
adult,female,upper,marketing,red,elegant,up
young adult,male,upper,agriculture,brown,modern,left
teen,female,middle,transportation,blue,bubbly,right
all,female,middle,marketing,red,thin,down
teen,both,lower,marketing,red,bubbly,down
all,male,upper,law,blue,bold,up
child,both,middle,technology,brown,elegant,left
young adult,female,middle,software engineering,green,bold,down
elder,female,upper,architecture and construction,brown,elegant,down
teen,both,middle,food and natural resources,grey,bold,up
adult,male,lower,communication,blue,elegant,up
adult,male,middle,software engineering,purple,bubbly,down
elder,female,lower,public safety and security,black,elegant,right
young adult,female,lower,education and training,red,classy,up
elder,male,lower,transportation,brown,elegant,up
elder,female,upper,arts,grey,classy,up
all,female,lower,technology,orange,bubbly,down
adult,female,middle,marketing,purple,classy,left
child,female,lower,arts,green,elegant,right
teen,male,all,public safety and security,orange,thin,left
young adult,male,all,software engineering,red,classy,left
all,both,all,accessories and fashion,orange,modern,right
elder,female,middle,communication,grey,elegant,down
elder,male,middle,public safety and security,orange,elegant,left
elder,female,upper,architecture and construction,red,elegant,down
young adult,female,lower,agriculture,orange,classy,up
adult,male,all,government and public administration,grey,thin,right
child,both,upper,animals,yellow,thin,down
young adult,female,middle,arts,purple,classy,up
elder,female,all,software engineering,grey,bold,left
child,both,all,audio and video technology,brown,thin,down
all,both,all,law,green,modern,left
adult,male,upper,government and public administration,purple,bold,down
young adult,both,middle,public safety and security,black,bold,left
young adult,female,middle,architecture and construction,black,modern,left
child,both,all,accessories and fashion,green,classy,right
adult,both,all,education and training,orange,modern,down
elder,female,all,agriculture,pink,classy,up
all,male,lower,government and public administration,red,bold,down
adult,male,upper,audio and video technology,black,elegant,left
adult,both,lower,games and entertainment,pink,thin,down
child,female,all,architecture and construction,pink,bold,right
young adult,female,all,agriculture,yellow,elegant,up
teen,both,all,transportation,green,elegant,up
teen,male,lower,games and entertainment,grey,bubbly,right
young adult,both,lower,communication,orange,elegant,down
adult,female,upper,agriculture,red,bold,down
all,both,lower,transportation,purple,modern,left
adult,female,middle,transportation,purple,elegant,up
adult,male,all,medicine,green,bubbly,up
all,female,middle,law,blue,thin,left
elder,both,lower,architecture and construction,grey,thin,right
child,both,lower,architecture and construction,black,elegant,left
young adult,male,upper,food and natural resources,grey,classy,down
teen,male,lower,education and training,orange,bubbly,left
teen,female,lower,education and training,green,modern,right
young adult,female,lower,marketing,yellow,modern,left
young adult,male,all,games and entertainment,black,modern,down
elder,both,lower,software engineering,blue,classy,right
